A2UF7RXEPL9ZJI,AZ2TUG95389FW,0.01,7344000,0001473123
A2UF7RXEPL9ZJI,A1J04KLN6LXL6Z,0.01,3110400,0001473123
A2UF7RXEPL9ZJI,A1GYOZMUYJM8LF,0.01,18748800,0001473123
A2UF7RXEPL9ZJI,APZWSS5CGEY4J,0.01,23587200,0001473123
A2UF7RXEPL9ZJI,AZ3LOTL9L59W1,0.01,9417600,0001473123
AMKVZRLT1BNJ8,A2UF7RXEPL9ZJI,1.0,14169600,0001473123
AMKVZRLT1BNJ8,AZ2TUG95389FW,1.0,21513600,0001473123
AMKVZRLT1BNJ8,A1J04KLN6LXL6Z,1.0,17280000,0001473123
AMKVZRLT1BNJ8,A1GYOZMUYJM8LF,1.0,32918400,0001473123
AMKVZRLT1BNJ8,A26V9VDOQBSO3R,1.0,3456000,0001473123
AMKVZRLT1BNJ8,APZWSS5CGEY4J,1.0,37756800,0001473123
AMKVZRLT1BNJ8,AO8M1TGE1EO41,1.0,10368000,0001473123
AMKVZRLT1BNJ8,A3V9X42L3AI67I,1.0,2937600,0001473123
AMKVZRLT1BNJ8,A3P4BVS6UQYW3P,1.0,12355200,0001473123
AMKVZRLT1BNJ8,AZ3LOTL9L59W1,1.0,23587200,0001473123
AZ2TUG95389FW,A1GYOZMUYJM8LF,0.01,11404800,0001473123
AZ2TUG95389FW,APZWSS5CGEY4J,0.01,16243200,0001473123
AZ2TUG95389FW,AZ3LOTL9L59W1,0.01,2073600,0001473123
AZSDZBAZ0SBCM,A2UF7RXEPL9ZJI,1.0,100224000,0001473123
AZSDZBAZ0SBCM,AMKVZRLT1BNJ8,1.0,86054400,0001473123
AZSDZBAZ0SBCM,AZ2TUG95389FW,1.0,107568000,0001473123
AZSDZBAZ0SBCM,A2HTHA0NYLLR0H,1.0,28512000,0001473123
AZSDZBAZ0SBCM,A1J04KLN6LXL6Z,1.0,103334400,0001473123
AZSDZBAZ0SBCM,A1GYOZMUYJM8LF,1.0,118972800,0001473123
AZSDZBAZ0SBCM,A26V9VDOQBSO3R,1.0,89510400,0001473123
AZSDZBAZ0SBCM,APZWSS5CGEY4J,1.0,123811200,0001473123
AZSDZBAZ0SBCM,AO8M1TGE1EO41,1.0,96422400,0001473123
AZSDZBAZ0SBCM,ATLL3SDWQEP39,1.0,84240000,0001473123
AZSDZBAZ0SBCM,A1W5C4LPCVTPXE,1.0,16243200,0001473123
AZSDZBAZ0SBCM,A3V9X42L3AI67I,1.0,88992000,0001473123
AZSDZBAZ0SBCM,A3P4BVS6UQYW3P,1.0,98409600,0001473123
AZSDZBAZ0SBCM,AZ3LOTL9L59W1,1.0,109641600,0001473123
A2HTHA0NYLLR0H,A2UF7RXEPL9ZJI,0.01,71712000,0001473123
A2HTHA0NYLLR0H,AMKVZRLT1BNJ8,0.01,57542400,0001473123
A2HTHA0NYLLR0H,AZ2TUG95389FW,0.01,79056000,0001473123
A2HTHA0NYLLR0H,A1J04KLN6LXL6Z,0.01,74822400,0001473123
