A35D9ODUCAMF5G,A1FCX548TD6DLP,0.01,1359158400,1395792000,B000068O3D
A35D9ODUCAMF5G,A2Y8JW5NSY95OL,0.01,1359158400,1368230400,B000068O3D
A35D9ODUCAMF5G,AT09WGFUM934H,0.01,1359158400,1384300800,B000068O3D
A3UETHIJBL6MCV,A1FCX548TD6DLP,0.01,1329350400,1395792000,B000068O3D
A3UETHIJBL6MCV,A35D9ODUCAMF5G,0.01,1329350400,1359158400,B000068O3D
A3UETHIJBL6MCV,A2Y8JW5NSY95OL,0.01,1329350400,1368230400,B000068O3D
A3UETHIJBL6MCV,A3FW4THIMBIN6V,0.01,1329350400,1346630400,B000068O3D
A3UETHIJBL6MCV,AT09WGFUM934H,0.01,1329350400,1384300800,B000068O3D
A3UETHIJBL6MCV,A1NAA1R38JSNHV,0.01,1329350400,1357257600,B000068O3D
A2Y8JW5NSY95OL,A1FCX548TD6DLP,0.01,1368230400,1395792000,B000068O3D
A2Y8JW5NSY95OL,AT09WGFUM934H,0.01,1368230400,1384300800,B000068O3D
A3FW4THIMBIN6V,A1FCX548TD6DLP,0.01,1346630400,1395792000,B000068O3D
A3FW4THIMBIN6V,A35D9ODUCAMF5G,0.01,1346630400,1359158400,B000068O3D
A3FW4THIMBIN6V,A2Y8JW5NSY95OL,0.01,1346630400,1368230400,B000068O3D
A3FW4THIMBIN6V,AT09WGFUM934H,0.01,1346630400,1384300800,B000068O3D
A3FW4THIMBIN6V,A1NAA1R38JSNHV,0.01,1346630400,1357257600,B000068O3D
AT09WGFUM934H,A1FCX548TD6DLP,1.0,1384300800,1395792000,B000068O3D
A1NAA1R38JSNHV,A1FCX548TD6DLP,0.01,1357257600,1395792000,B000068O3D
A1NAA1R38JSNHV,A35D9ODUCAMF5G,0.01,1357257600,1359158400,B000068O3D
A1NAA1R38JSNHV,A2Y8JW5NSY95OL,0.01,1357257600,1368230400,B000068O3D
A1NAA1R38JSNHV,AT09WGFUM934H,0.01,1357257600,1384300800,B000068O3D
